"Name","Team","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%","TGT","TGT%","REC","REC%","CATCH%","TDS","TD%"
"Justice Hill","BAL","1","3.7%","1","4.8%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"David Montgomery","DET","2","6.9%","1","4.2%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Foster Moreau","NO","1","10.0%","1","14.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tony Pollard","TEN","1","2.4%","1","3.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Miles Sanders","DAL","1","12.5%","1","12.5%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Trayveon Williams","CLE","2","22.2%","2","25.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Greg Dortch","ARI","7","21.2%","7","24.1%","100.0%","2","66.7%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Scotty Miller","PIT","2","14.3%","1","11.1%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ashton Dulin","IND","1","10.0%","1","20.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tyler Johnson","NYJ","3","16.7%","2","16.7%","66.7%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"D'Andre Swift","CHI","1","2.1%","1","2.9%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Charlie Woerner","ATL","1","9.1%","1","12.5%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Andre Baccellia","ARI","2","50.0%","1","50.0%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Rhamondre Stevenson","NE","5","13.5%","5","15.6%","100.0%","1","50.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ronnie Bell","NO","2","50.0%","1","50.0%","50.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jack Stoll","NO","1","9.1%","1","16.7%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Kylen Granson","PHI","1","11.1%","1","14.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Michael Bandy","DEN","1","25.0%","1","25.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Chris Brooks","GB","3","17.6%","1","7.7%","33.3%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tank Bigsby","PHI","1","25.0%","1","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jerome Ford","CLE","6","18.8%","5","19.2%","83.3%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jayden Reed","GB","4","18.2%","4","21.1%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tyler Allgeier","ATL","1","6.3%","1","7.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jordan Mason","MIN","1","6.3%","1","7.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Luke Schoonmaker","DAL","2","8.7%","1","7.1%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Trey Benson","ARI","1","6.3%","1","7.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Brycen Tremayne","CAR","1","5.3%","1","7.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Julian Hill","MIA","3","15.0%","1","6.7%","33.3%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ryan Miller","NYG","1","25.0%","1","50.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Xavier Gipson","NYG","1","50.0%","1","50.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Zavier Scott","MIN","3","18.8%","3","21.4%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Xavier Smith","LAR","3","12.5%","3","16.7%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jamari Thrash","CLE","1","6.7%","1","10.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Xavier Weaver","ARI","3","23.1%","2","28.6%","66.7%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Rasheen Ali","BAL","1","9.1%","1","11.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Isaiah Davis","NYJ","1","3.6%","1","4.8%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jalen McMillan","TB","1","6.7%","1","8.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Tahj Washington","MIA","1","20.0%","1","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jordan Whittington","LAR","1","4.0%","1","5.6%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Isaiah Williams","NYJ","1","2.8%","1","3.8%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Mason Tipton","NO","2","11.8%","1","9.1%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Devin Neal","NO","1","5.3%","1","5.9%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Matthew Golden","GB","2","4.5%","1","3.4%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Xavier Restrepo","TEN","1","14.3%","1","33.3%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Quinshon Judkins","CLE","1","2.8%","1","3.8%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Ollie Gordon II","MIA","2","22.2%","2","28.6%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Corey Kiner","ARI","1","33.3%","1","50.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jaylin Lane","WAS","2","6.3%","1","6.3%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jimmy Horn Jr.","CAR","3","20.0%","1","9.1%","33.3%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"LeQuint Allen Jr.","JAX","2","18.2%","2","20.0%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Luther Burden III","CHI","4","6.7%","3","6.4%","75.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Keandre Lambert-Smith","LAC","2","16.7%","2","40.0%","100.0%","1","100.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Dont'e Thornton Jr.","LV","2","6.7%","1","10.0%","50.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
"Jacory Croskey-Merritt","WAS","1","7.7%","1","11.1%","100.0%","0","0.0%","0","0.0%","0","0.0%","0.0%","0","0.0%"
